Id,Keywords,Year,Material,Height,Width,Time,Description
unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
ARKM.2005-02-200-211-02,"Léonie Geisendorf, porträtt",unknown,foto,unknown,unknown,unknown,unknown
ARKM.2005-02-200-211-02,Katolska kyrkan (Katthavet),unknown,foto,unknown,unknown,unknown,unknown
ARKM.1996-232-13,Fasadskiss,unknown,"Modell, gips",155,122,unknown,unknown
ARKM.1996-232-10,Fasadskiss,unknown,"Modell, gips",157,110,unknown,unknown
ARKM.1996-232-12,Fasadskiss,unknown,"Modell, gips",166,110,unknown,unknown
ARKM.1996-232-14,Fasadskiss,unknown,"Modell, gips",124,82,unknown,unknown
ARKM.1996-232-15,Fasadskiss,unknown,"Modell, gips",156,110,unknown,unknown
ARKM.1996-232-11,Fasadskiss,unknown,"Modell, gips",155,117,unknown,unknown
ARKM.2005-202-22-01,Fasadskiss,unknown,"Modell, gips",157,123,unknown,unknown
ARKM.2005-202-22-02,Fasadskiss,unknown,"Modell, gips",156,120,unknown,unknown
ARKM.2005-202-22-03,Fasadskiss,unknown,"Modell, gips",155,123,unknown,unknown
ARKM.2005-202-24-03,Fasadskiss,unknown,"Modell, trä",72,200,unknown,unknown
ARKM.2005-202-24-04,Fasadskiss,unknown,"Modell, trä",60,215,unknown,unknown
ARKM.2005-202-24-02,Fasadskiss,unknown,"Modell, trä",70,235,unknown,unknown
ARKM.2005-202-24-01,Fasadskiss,unknown,"Modell, trä",67,235,unknown,unknown
ARKM.2005-202-24-06,Fasadskiss,unknown,"Modell, trä",128,235,unknown,unknown
ARKM.2005-202-32,Katolska Kyrkan Modell skala 1:200,unknown,"Modell, trä","Bredd = 1290
Djup = 400
Höjd = 200 ",235,unknown,unknown
ARKM.2005-202-33,Nya Katolska kyrkan. Fragment av fasad. Arbetsmodell 1:50.,unknown,"Modell, trä","Bredd = 290 mm 
Höjd = 500 mm
Djup 180 mm",235,unknown,unknown
ARKM.2005-202-01,Nya Katolska kyrkan. Fragment av fasad. Arbetsmodell 1:50.,unknown,"Gips, kartong, trä ","Bredd = 610 Millimeter
Höjd = 320 Millimeter
Djup = 880 Millimeter
(Huvens mått)",235,unknown,unknown
ARKM.2005-202-34,"Modell
Nya Katolska Kyrkan
Tudelad",unknown,"Gips, kartong, trä ","Bredd = 610 Millimeter
Höjd = 320 Millimeter
Djup = 880 Millimeter
(Huvens mått)",235,unknown,unknown
